InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536365,22745,POPPY'S PLAYHOUSE BEDROOM,4,2011-11-03 12:50:00,2.1,12396,France
536365,84029E,RED WOOLLY HOTTIE WHITE HEART,7,2011-11-03 12:50:00,3.39,12396,France
536365,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,18,2011-11-03 12:50:00,3.75,12396,France
536365,85099B,JUMBO BAG RED RETROSPOT,14,2011-11-03 12:50:00,1.65,12396,France
536365,84879,ASSORTED COLOUR BIRD ORNAMENT,23,2011-11-03 12:50:00,1.69,12396,France
536366,22632,HAND WARMER RED POLKA DOT,12,2011-07-19 08:35:00,1.85,12405,Netherlands
536366,84406B,CREAM CUPID HEARTS COAT HANGER,9,2011-07-19 08:35:00,2.75,12405,Netherlands
536366,22633,HAND WARMER UNION JACK,5,2011-07-19 08:35:00,1.85,12405,Netherlands
536366,22745,POPPY'S PLAYHOUSE BEDROOM,8,2011-07-19 08:35:00,2.1,12405,Netherlands
536366,84029E,RED WOOLLY HOTTIE WHITE HEART,19,2011-07-19 08:35:00,3.39,12405,Netherlands
536367,22745,POPPY'S PLAYHOUSE BEDROOM,16,2011-09-02 15:47:00,2.1,,United Kingdom
536367,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,2011-09-02 15:47:00,2.55,,United Kingdom
536367,22752,SET 7 BABUSHKA NESTING BOXES,19,2011-09-02 15:47:00,7.65,,United Kingdom
536367,22633,HAND WARMER UNION JACK,13,2011-09-02 15:47:00,1.85,,United Kingdom
536368,22748,POPPY'S PLAYHOUSE KITCHEN,2,2011-09-27 11:45:00,2.1,12376,Germany
536368,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,2,2011-09-27 11:45:00,3.75,12376,Germany
536368,22745,POPPY'S PLAYHOUSE BEDROOM,20,2011-09-27 11:45:00,2.1,12376,Germany
536368,85123A,WHITE HANGING HEART T-LIGHT HOLDER,9,2011-09-27 11:45:00,2.55,12376,Germany
536368,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,14,2011-09-27 11:45:00,3.39,12376,Germany
536368,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2011-09-27 11:45:00,2.55,12376,Germany
536369,84029E,RED WOOLLY HOTTIE WHITE HEART,20,2011-01-24 15:28:00,3.39,12352,Netherlands
536369,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,9,2011-01-24 15:28:00,3.75,12352,Netherlands
536369,71053,WHITE METAL LANTERN,9,2011-01-24 15:28:00,3.39,12352,Netherlands
536369,21730,GLASS STAR FROSTED T-LIGHT HOLDER,15,2011-01-24 15:28:00,4.25,12352,Netherlands
536370,22632,HAND WARMER RED POLKA DOT,15,2011-09-12 15:09:00,1.85,12356,Spain
536370,71053,WHITE METAL LANTERN,15,2011-09-12 15:09:00,3.39,12356,Spain
536370,22752,SET 7 BABUSHKA NESTING BOXES,13,2011-09-12 15:09:00,7.65,12356,Spain
536370,22745,POPPY'S PLAYHOUSE BEDROOM,14,2011-09-12 15:09:00,2.1,12356,Spain
536370,71053,WHITE METAL LANTERN,22,2011-09-12 15:09:00,3.39,12356,Spain
536371,85123A,WHITE HANGING HEART T-LIGHT HOLDER,19,2010-02-12 17:04:00,2.55,12358,Germany
536371,21730,GLASS STAR FROSTED T-LIGHT HOLDER,17,2010-02-12 17:04:00,4.25,12358,Germany
536371,22748,POPPY'S PLAYHOUSE KITCHEN,21,2010-02-12 17:04:00,2.1,12358,Germany
536372,84029E,RED WOOLLY HOTTIE WHITE HEART,14,2011-01-14 12:01:00,3.39,12371,Germany
536372,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,17,2011-01-14 12:01:00,3.75,12371,Germany
536373,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,17,2011-09-14 13:23:00,3.39,12366,Australia
536373,71053,WHITE METAL LANTERN,7,2011-09-14 13:23:00,3.39,12366,Australia
536374,85123A,WHITE HANGING HEART T-LIGHT HOLDER,11,2011-04-22 13:49:00,2.55,12357,Spain
536374,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,9,2011-04-22 13:49:00,3.75,12357,Spain
536374,84029E,RED WOOLLY HOTTIE WHITE HEART,13,2011-04-22 13:49:00,3.39,12357,Spain
536374,22633,HAND WARMER UNION JACK,17,2011-04-22 13:49:00,1.85,12357,Spain
536375,22745,POPPY'S PLAYHOUSE BEDROOM,17,2011-03-08 12:32:00,2.1,12379,Australia
536375,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,23,2011-03-08 12:32:00,3.75,12379,Australia
536376,22752,SET 7 BABUSHKA NESTING BOXES,10,2011-03-12 16:45:00,7.65,12401,Germany
536376,47566,PARTY BUNTING,7,2011-03-12 16:45:00,4.95,12401,Germany
536376,22633,HAND WARMER UNION JACK,19,2011-03-12 16:45:00,1.85,12401,Germany
536377,84879,ASSORTED COLOUR BIRD ORNAMENT,18,2010-11-04 17:52:00,1.69,12423,Spain
536377,47566,PARTY BUNTING,9,2010-11-04 17:52:00,4.95,12423,Spain
536377,85099B,JUMBO BAG RED RETROSPOT,11,2010-11-04 17:52:00,1.65,12423,Spain
536377,84029E,RED WOOLLY HOTTIE WHITE HEART,24,2010-11-04 17:52:00,3.39,12423,Spain
536378,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,12,2010-04-04 09:19:00,3.75,12374,Netherlands
536378,85099B,JUMBO BAG RED RETROSPOT,23,2010-04-04 09:19:00,1.65,12374,Netherlands
536379,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,22,2011-10-03 15:41:00,3.39,12372,Germany
536379,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,21,2011-10-03 15:41:00,3.75,12372,Germany
536379,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,14,2011-10-03 15:41:00,3.39,12372,Germany
536379,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,12,2011-10-03 15:41:00,3.75,12372,Germany
536379,85099B,JUMBO BAG RED RETROSPOT,20,2011-10-03 15:41:00,1.65,12372,Germany
536380,84879,ASSORTED COLOUR BIRD ORNAMENT,23,2011-01-19 14:17:00,1.69,12409,Spain
536380,22633,HAND WARMER UNION JACK,22,2011-01-19 14:17:00,1.85,12409,Spain
536380,47566,PARTY BUNTING,19,2011-01-19 14:17:00,4.95,12409,Spain
536381,84029E,RED WOOLLY HOTTIE WHITE HEART,18,2010-05-25 12:51:00,3.39,12390,Australia
536381,71053,WHITE METAL LANTERN,24,2010-05-25 12:51:00,3.39,12390,Australia
536381,85123A,WHITE HANGING HEART T-LIGHT HOLDER,24,2010-05-25 12:51:00,2.55,12390,Australia
536381,22633,HAND WARMER UNION JACK,14,2010-05-25 12:51:00,1.85,12390,Australia
536381,21730,GLASS STAR FROSTED T-LIGHT HOLDER,21,2010-05-25 12:51:00,4.25,12390,Australia
536381,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2010-05-25 12:51:00,1.69,12390,Australia
536382,84879,ASSORTED COLOUR BIRD ORNAMENT,13,2011-04-17 13:10:00,1.69,12402,Spain
536382,84879,ASSORTED COLOUR BIRD ORNAMENT,15,2011-04-17 13:10:00,1.69,12402,Spain
536382,85099B,JUMBO BAG RED RETROSPOT,15,2011-04-17 13:10:00,1.65,12402,Spain
536383,71053,WHITE METAL LANTERN,8,2010-04-14 14:18:00,3.39,12385,Germany
536383,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,9,2010-04-14 14:18:00,3.75,12385,Germany
536383,85099B,JUMBO BAG RED RETROSPOT,13,2010-04-14 14:18:00,1.65,12385,Germany
536383,22752,SET 7 BABUSHKA NESTING BOXES,4,2010-04-14 14:18:00,7.65,12385,Germany
536383,21730,GLASS STAR FROSTED T-LIGHT HOLDER,15,2010-04-14 14:18:00,4.25,12385,Germany
536383,22748,POPPY'S PLAYHOUSE KITCHEN,8,2010-04-14 14:18:00,2.1,12385,Germany
536384,22752,SET 7 BABUSHKA NESTING BOXES,13,2011-05-13 16:52:00,7.65,,Netherlands
